ID Place of Birth,Place of Birth,ID Age,Age,Birthplace (2013),Birthplace (2014),Birthplace (2015),Birthplace (2016),Birthplace (2017),Birthplace (2018),Birthplace (2019),Birthplace Moe (2013),Birthplace Moe (2014),Birthplace Moe (2015),Birthplace Moe (2016),Birthplace Moe (2017),Birthplace Moe (2018),Birthplace Moe (2019),Geography (2013),Geography (2014),Geography (2015),Geography (2016),Geography (2017),Geography (2018),Geography (2019),ID Geography (2013),ID Geography (2014),ID Geography (2015),ID Geography (2016),ID Geography (2017),ID Geography (2018),ID Geography (2019)
0,"Born In State of Residence",0,"Under 5 Years",2340282,2341168,2334650,2295574,2281866,2249118,2197994,7311.000000000001,7248,8143.999999999999,10134,7452,8898,9777,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",1,"5 to 17 Years",5784680,5751929,5730427,5747759,5748657,5688973,5638990,16736,18216,17505,16843,17729,17352,20074,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",2,"18 to 24 Years",2983307,2993682,2940965,2876863,2850237,2799993,2765480,17037,16457,15636,15435.000000000002,17467,16747,16653,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",3,"25 to 34 Years",3017580,3148310,3243632,3344406,3561552,3641541,3708395,23882,22973,22464,22643,21345,23477,29412,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",4,"35 to 44 Years",2019729,2077450,2073279,2103567,2232067,2320593,2391908,18412,19568,20358,23155,17939,18217,27022.000000000004,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",5,"45 to 54 Years",1995874,1981558,1986580,1946612,1929523,1897702,1846961,20200,19177,17602,17261,18334,17908,19226,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",6,"55 to 59 Years",882096,912947,931694,944684,947515,945733,962310,12701,12454,14059.000000000002,14357,15498,12401,14350,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",7,"60 & 61 Years",301109,324570,333435,343080,347098,366951,378623,9266,8513,8472,8315,8469,9886,10549,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",8,"62 to 64 Years",391002,426008,432750,446144,471217,487415,498835,10142,8966,9321,10366,11085,9450,10988,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",9,"65 to 74 Years",782852,859801,923695,987149,1036015,1081327,1140835,11006,9970,11229,13413,13022,11611,13149,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
0,"Born In State of Residence",10,"75 Years & Over",486713,505271,523460,546795,560625,600580,641744,10132,9775,10918,8790,9437,11704,11183,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
1,"Born In Other State In The United States",0,"Under 5 Years",93328,95423,95793,99242,97046,95522,96305,5336,6505,5921,6663,5779,6710,7452,"California","California","California","California","California","California","California","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06","04000US06"
