,Strata_Name,Year,All causes (total)
0,1-4 years,2014,555
1,1-4 years,2015,486
2,1-4 years,2016,556
3,1-4 years,2017,433
4,1-4 years,2018,527
5,1-4 years,2019,441
6,15-24 years,2014,5605
7,15-24 years,2015,5921
8,15-24 years,2016,6121
9,15-24 years,2017,5999
10,15-24 years,2018,5651
11,15-24 years,2019,5648
12,25-34 years,2014,8879
13,25-34 years,2015,9535
14,25-34 years,2016,10297
15,25-34 years,2017,10270
16,25-34 years,2018,10628
17,25-34 years,2019,11384
18,35-44 years,2014,13292
19,35-44 years,2015,13865
20,35-44 years,2016,13959
21,35-44 years,2017,14168
22,35-44 years,2018,14790
23,35-44 years,2019,15500
24,45-54 years,2014,33247
25,45-54 years,2015,33107
26,45-54 years,2016,32769
27,45-54 years,2017,31666
28,45-54 years,2018,31018
29,45-54 years,2019,30326
30,5-14 years,2014,701
31,5-14 years,2015,663
32,5-14 years,2016,745
33,5-14 years,2017,727
34,5-14 years,2018,719
35,5-14 years,2019,686
36,55-64 years,2014,64986
37,55-64 years,2015,66838
38,55-64 years,2016,68493
39,55-64 years,2017,68478
40,55-64 years,2018,68652
41,55-64 years,2019,68384
42,65-74 years,2014,82551
43,65-74 years,2015,89645
44,65-74 years,2016,91769
45,65-74 years,2017,96305
46,65-74 years,2018,97872
47,65-74 years,2019,98533
48,75-84 years,2014,112849
49,75-84 years,2015,117433
50,75-84 years,2016,118216
51,75-84 years,2017,121154
52,75-84 years,2018,123567
53,75-84 years,2019,124848
54,85 years and over,2014,163920
55,85 years and over,2015,175876
56,85 years and over,2016,176675
57,85 years and over,2017,182814
58,85 years and over,2018,180401
59,85 years and over,2019,180015
60,Under 1 year,2014,4149
61,Under 1 year,2015,4158
62,Under 1 year,2016,3927
63,Under 1 year,2017,3769
64,Under 1 year,2018,3581
65,Under 1 year,2019,3537
