,Unnamed: 0,Strata_Name,Year,All causes (total)
0,0,Under 5 years,2014,4704
1,1,Under 5 years,2015,4644
2,2,Under 5 years,2016,4483
3,3,Under 5 years,2017,4202
4,4,Under 5 years,2018,4108
5,5,Under 5 years,2019,3978
12,12,25-34 years,2014,8879
13,13,25-34 years,2015,9535
14,14,25-34 years,2016,10297
15,15,25-34 years,2017,10270
16,16,25-34 years,2018,10628
17,17,25-34 years,2019,11384
18,18,35-44 years,2014,13292
19,19,35-44 years,2015,13865
20,20,35-44 years,2016,13959
21,21,35-44 years,2017,14168
22,22,35-44 years,2018,14790
23,23,35-44 years,2019,15500
24,24,45-54 years,2014,33247
25,25,45-54 years,2015,33107
26,26,45-54 years,2016,32769
27,27,45-54 years,2017,31666
28,28,45-54 years,2018,31018
29,29,45-54 years,2019,30326
30,30,5-24 years,2014,6306
31,31,5-24 years,2015,6584
32,32,5-24 years,2016,6866
33,33,5-24 years,2017,6726
34,34,5-24 years,2018,6370
35,35,5-24 years,2019,6334
36,36,55-64 years,2014,64986
37,37,55-64 years,2015,66838
38,38,55-64 years,2016,68493
39,39,55-64 years,2017,68478
40,40,55-64 years,2018,68652
41,41,55-64 years,2019,68384
42,42,65-74 years,2014,82551
43,43,65-74 years,2015,89645
44,44,65-74 years,2016,91769
45,45,65-74 years,2017,96305
46,46,65-74 years,2018,97872
47,47,65-74 years,2019,98533
48,48,75 years and over,2014,276769
49,49,75 years and over,2015,293309
50,50,75 years and over,2016,294891
51,51,75 years and over,2017,303968
52,52,75 years and over,2018,303968
53,53,75 years and over,2019,304863
