,Strata_Name,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
0,Female,2014,7718,17083,401,15488,3224,13318,7195,53670,4914,5663,1750,56351,2672,1926
1,Female,2015,8446,20217,448,17223,3704,14426,7786,56759,5495,6159,1832,57406,3206,2105
2,Female,2016,8591,21060,476,17909,3532,14408,7944,56472,5461,5823,1800,57466,3223,2191
3,Female,2017,8888,21813,518,18536,3572,14483,8136,57607,5847,6191,1691,57677,3434,2416
4,Female,2018,8976,21835,490,18377,3623,14173,8235,56554,5819,6610,1817,57581,3315,2476
5,Female,2019,9275,22098,426,18814,3816,13558,8253,55460,5701,5314,1755,57493,3324,2725
6,Male,2014,15413,7849,1832,11534,6140,11918,8790,62423,3807,5708,5721,60407,2970,2818
7,Male,2015,16734,9429,2220,12612,6731,12586,9466,66119,4336,5775,5594,61992,3383,3079
8,Male,2016,17595,9662,2515,13145,6428,12719,9839,66845,4250,5695,5687,61699,3360,3457
9,Male,2017,18545,10228,2136,13918,6492,12923,10633,68143,4745,6026,5770,61486,3738,3816
10,Male,2018,19191,10802,2163,14154,6603,12817,10306,68781,4810,6813,6103,62510,3988,3965
11,Male,2019,20801,10924,2100,14588,6715,12317,10936,69498,5031,5493,6220,61717,3982,4397
