,Strata_Name,Year,All causes (total)
0,Decedent's Home,2014,175111
1,Decedent's Home,2015,183647
2,Decedent's Home,2016,186078
3,Decedent's Home,2017,190749
4,Decedent's Home,2018,194631
5,Decedent's Home,2019,196697
6,Emergency Room/Outpatient,2014,30346
7,Emergency Room/Outpatient,2015,31332
8,Emergency Room/Outpatient,2016,32974
9,Emergency Room/Outpatient,2017,32530
10,Emergency Room/Outpatient,2018,31715
11,Emergency Room/Outpatient,2019,30786
12,Hospice Facility,2014,8676
13,Hospice Facility,2015,9119
14,Hospice Facility,2016,10307
15,Hospice Facility,2017,10491
16,Hospice Facility,2018,10362
17,Hospice Facility,2019,9709
18,Inpatient,2014,152293
19,Inpatient,2015,162453
20,Inpatient,2016,164086
21,Inpatient,2017,166330
22,Inpatient,2018,167456
23,Inpatient,2019,167161
24,Nursing Home/Long Term Care Facility,2014,87640
25,Nursing Home/Long Term Care Facility,2015,88616
26,Nursing Home/Long Term Care Facility,2016,84425
27,Nursing Home/Long Term Care Facility,2017,85592
28,Nursing Home/Long Term Care Facility,2018,82742
29,Nursing Home/Long Term Care Facility,2019,81615
30,Other/Unknown,2014,35311
31,Other/Unknown,2015,41120
32,Other/Unknown,2016,44739
33,Other/Unknown,2017,48376
34,Other/Unknown,2018,49221
35,Other/Unknown,2019,50476
