,Strata_Name,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
0,American Indian/Alaskan Native,2014,24,0,0,0,0,0,0,176,0,0,0,138,0,0
1,American Indian/Alaskan Native,2015,11,0,0,0,0,0,11,240,0,0,0,238,0,0
2,American Indian/Alaskan Native,2016,22,0,0,0,0,0,11,294,0,0,0,198,0,0
3,American Indian/Alaskan Native,2017,103,0,0,0,0,0,0,215,0,0,0,240,0,0
4,American Indian/Alaskan Native,2018,11,0,0,0,26,0,0,287,0,0,0,197,0,0
5,American Indian/Alaskan Native,2019,42,0,0,0,0,0,0,195,0,0,0,243,0,0
6,Asian,2014,1311,1600,25,3286,210,1433,1833,9706,916,1466,539,12377,558,315
7,Asian,2015,1607,1927,41,3719,292,1594,2038,10323,1137,1755,590,13262,704,515
8,Asian,2016,1558,2216,113,4063,310,1556,2115,10763,1244,1654,605,13278,616,464
9,Asian,2017,1745,2450,47,4225,280,1614,2311,11482,1382,1677,626,13460,962,563
10,Asian,2018,1759,2658,46,4257,361,1651,2410,11619,1433,1927,665,13887,1002,593
11,Asian,2019,1818,2926,34,4536,343,1605,2519,11585,1407,1527,617,13822,894,745
12,Black,2014,1622,1184,931,1951,388,1415,1686,9133,754,624,132,8304,535,67
13,Black,2015,1738,1374,1015,2130,474,1612,1874,9402,975,624,179,8573,709,12
14,Black,2016,1849,1551,1008,2184,425,1613,1858,9833,857,698,143,8441,752,85
15,Black,2017,2080,1723,957,2347,457,1750,1835,9811,1080,663,165,8330,763,95
16,Black,2018,2165,1661,791,2393,368,1708,1992,10242,1070,827,179,8537,645,67
17,Black,2019,2494,1780,882,2438,349,1654,1928,10275,1059,721,279,8349,742,105
18,Hawaiian/Pacific Islander,2014,0,0,0,0,0,0,27,267,0,0,0,296,0,0
19,Hawaiian/Pacific Islander,2015,0,0,0,0,0,0,23,339,0,0,0,344,0,0
20,Hawaiian/Pacific Islander,2016,0,0,0,0,0,0,0,393,0,0,0,257,0,0
21,Hawaiian/Pacific Islander,2017,0,0,0,11,0,0,39,344,0,0,0,284,0,0
22,Hawaiian/Pacific Islander,2018,11,0,0,0,0,0,56,387,0,0,0,291,0,0
23,Hawaiian/Pacific Islander,2019,0,0,0,11,0,0,39,426,0,0,0,329,0,0
24,Hispanic,2014,5701,2844,1352,4749,3425,2098,4539,17399,1362,2115,1247,20273,1274,468
25,Hispanic,2015,6379,3842,1593,5394,3814,2376,4905,18792,1710,2012,1283,21216,1376,551
26,Hispanic,2016,6943,3939,1671,5675,3823,2507,5374,19693,1693,2083,1468,21617,1705,587
27,Hispanic,2017,7362,4441,1703,5775,3883,2487,5608,20837,1926,2165,1552,22225,1802,699
28,Hispanic,2018,7876,5040,1532,6215,3964,2665,5597,20919,1982,2519,1709,23036,1941,786
29,Hispanic,2019,8644,5081,1492,6617,4217,2523,6231,21264,2093,2246,1684,23671,1988,855
30,Multi-Race,2014,177,0,0,36,0,49,24,610,0,25,11,706,0,0
31,Multi-Race,2015,198,39,0,34,0,60,33,728,23,0,17,756,0,0
32,Multi-Race,2016,181,34,0,70,0,105,31,652,0,0,26,813,0,0
33,Multi-Race,2017,233,27,0,47,0,93,80,706,0,0,42,710,0,0
34,Multi-Race,2018,280,59,0,61,0,65,22,805,0,12,53,865,0,0
35,Multi-Race,2019,284,41,0,103,0,79,13,700,0,0,11,803,0,0
36,Other/Unknown,2014,0,0,0,0,0,0,0,199,0,25,0,178,0,0
37,Other/Unknown,2015,0,0,0,31,0,68,22,184,0,27,0,142,0,0
38,Other/Unknown,2016,0,54,0,28,30,57,11,246,0,37,0,216,0,0
39,Other/Unknown,2017,0,13,0,56,0,73,25,405,0,0,0,184,0,0
40,Other/Unknown,2018,25,30,0,68,30,85,48,378,12,31,0,359,0,0
41,Other/Unknown,2019,63,48,0,76,23,79,67,507,0,22,0,410,0,0
42,White,2014,13424,18435,575,15836,4776,18696,7219,77208,5202,6616,5275,73023,2765,3367
43,White,2015,14423,21504,585,17550,5037,20126,7698,81364,5628,6724,5162,73223,3198,3778
44,White,2016,14748,21971,560,17967,4988,20239,7718,79904,5304,6257,5042,72955,2999,4042
45,White,2017,15016,22647,412,19034,4793,20348,8106,80535,5748,6988,5065,72145,3279,4258
46,White,2018,15180,22724,513,18675,4867,19694,7708,79111,5677,7353,5103,71508,3299,4728
47,White,2019,15736,22727,454,18518,5060,18569,7702,78345,5616,5851,5124,70081,3279,5076
