Year,County,Strata_Name,Cause_Desc,Count
2014,San Diego,Male,Accidents (unintentional injuries),736
2014,San Diego,Male,Alzheimer's disease,419
2014,San Diego,Male,Assault (homicide),70
2014,San Diego,Male,Cerebrovascular diseases,509
2014,San Diego,Male,Chronic liver disease and cirrhosis,230
2014,San Diego,Male,Chronic lower respiratory diseases,469
2014,San Diego,Male,Diabetes mellitus,368
2014,San Diego,Male,Diseases of heart,2640
2014,San Diego,Male,Essential hypertension and hypertensive renal disease,139
2014,San Diego,Male,Influenza and pneumonia,162
2014,San Diego,Male,Intentional self-harm (suicide),323
2014,San Diego,Male,Malignant neoplasms,2650
2014,San Diego,Male,"Nephritis, nephrotic syndrome and nephrosis",65
2014,San Diego,Male,Parkinson's disease,166
2015,San Diego,Male,Accidents (unintentional injuries),736
2015,San Diego,Male,Alzheimer's disease,491
2015,San Diego,Male,Assault (homicide),62
2015,San Diego,Male,Cerebrovascular diseases,518
2015,San Diego,Male,Chronic liver disease and cirrhosis,258
2015,San Diego,Male,Chronic lower respiratory diseases,449
2015,San Diego,Male,Diabetes mellitus,404
2015,San Diego,Male,Diseases of heart,2612
2015,San Diego,Male,Essential hypertension and hypertensive renal disease,163
2015,San Diego,Male,Influenza and pneumonia,179
2015,San Diego,Male,Intentional self-harm (suicide),327
2015,San Diego,Male,Malignant neoplasms,2778
2015,San Diego,Male,"Nephritis, nephrotic syndrome and nephrosis",53
2015,San Diego,Male,Parkinson's disease,182
2016,San Diego,Male,Accidents (unintentional injuries),785
2016,San Diego,Male,Alzheimer's disease,448
2016,San Diego,Male,Assault (homicide),85
2016,San Diego,Male,Cerebrovascular diseases,626
2016,San Diego,Male,Chronic liver disease and cirrhosis,260
2016,San Diego,Male,Chronic lower respiratory diseases,498
2016,San Diego,Male,Diabetes mellitus,429
2016,San Diego,Male,Diseases of heart,2737
2016,San Diego,Male,Essential hypertension and hypertensive renal disease,187
2016,San Diego,Male,Influenza and pneumonia,199
2016,San Diego,Male,Intentional self-harm (suicide),323
2016,San Diego,Male,Malignant neoplasms,2713
2016,San Diego,Male,"Nephritis, nephrotic syndrome and nephrosis",48
2016,San Diego,Male,Parkinson's disease,207
2017,San Diego,Male,Accidents (unintentional injuries),867
2017,San Diego,Male,Alzheimer's disease,479
2017,San Diego,Male,Assault (homicide),65
2017,San Diego,Male,Cerebrovascular diseases,594
2017,San Diego,Male,Chronic liver disease and cirrhosis,243
2017,San Diego,Male,Chronic lower respiratory diseases,478
2017,San Diego,Male,Diabetes mellitus,452
2017,San Diego,Male,Diseases of heart,2725
2017,San Diego,Male,Essential hypertension and hypertensive renal disease,218
2017,San Diego,Male,Influenza and pneumonia,181
2017,San Diego,Male,Intentional self-harm (suicide),353
2017,San Diego,Male,Malignant neoplasms,2764
2017,San Diego,Male,"Nephritis, nephrotic syndrome and nephrosis",43
2017,San Diego,Male,Parkinson's disease,219
2018,San Diego,Male,Accidents (unintentional injuries),869
2018,San Diego,Male,Alzheimer's disease,493
2018,San Diego,Male,Assault (homicide),70
2018,San Diego,Male,Cerebrovascular diseases,645
2018,San Diego,Male,Chronic liver disease and cirrhosis,230
2018,San Diego,Male,Chronic lower respiratory diseases,472
2018,San Diego,Male,Diabetes mellitus,462
2018,San Diego,Male,Diseases of heart,2779
2018,San Diego,Male,Essential hypertension and hypertensive renal disease,203
2018,San Diego,Male,Influenza and pneumonia,243
2018,San Diego,Male,Intentional self-harm (suicide),373
2018,San Diego,Male,Malignant neoplasms,2767
2018,San Diego,Male,"Nephritis, nephrotic syndrome and nephrosis",51
2018,San Diego,Male,Parkinson's disease,244
2019,San Diego,Male,Accidents (unintentional injuries),951
2019,San Diego,Male,Alzheimer's disease,540
2019,San Diego,Male,Assault (homicide),72
2019,San Diego,Male,Cerebrovascular diseases,717
2019,San Diego,Male,Chronic liver disease and cirrhosis,245
2019,San Diego,Male,Chronic lower respiratory diseases,489
2019,San Diego,Male,Diabetes mellitus,460
2019,San Diego,Male,Diseases of heart,2733
2019,San Diego,Male,Essential hypertension and hypertensive renal disease,190
2019,San Diego,Male,Influenza and pneumonia,172
2019,San Diego,Male,Intentional self-harm (suicide),346
2019,San Diego,Male,Malignant neoplasms,2798
2019,San Diego,Male,"Nephritis, nephrotic syndrome and nephrosis",80
2019,San Diego,Male,Parkinson's disease,238
