Year,Strata_Name,Cause_Desc,Count
2014,Female,Accidents (unintentional injuries),3903
2014,Female,Alzheimer's disease,8579
2014,Female,Assault (homicide),202
2014,Female,Cerebrovascular diseases,7759
2014,Female,Chronic liver disease and cirrhosis,1625
2014,Female,Chronic lower respiratory diseases,6675
2014,Female,Diabetes mellitus,3599
2014,Female,Diseases of heart,26890
2014,Female,Essential hypertension and hypertensive renal disease,2453
2014,Female,Influenza and pneumonia,2846
2014,Female,Intentional self-harm (suicide),890
2014,Female,Malignant neoplasms,28314
2014,Female,"Nephritis, nephrotic syndrome and nephrosis",1342
2014,Female,Parkinson's disease,967
2015,Female,Accidents (unintentional injuries),4243
2015,Female,Alzheimer's disease,10136
2015,Female,Assault (homicide),232
2015,Female,Cerebrovascular diseases,8609
2015,Female,Chronic liver disease and cirrhosis,1852
2015,Female,Chronic lower respiratory diseases,7229
2015,Female,Diabetes mellitus,3903
2015,Female,Diseases of heart,28426
2015,Female,Essential hypertension and hypertensive renal disease,2745
2015,Female,Influenza and pneumonia,3089
2015,Female,Intentional self-harm (suicide),926
2015,Female,Malignant neoplasms,28764
2015,Female,"Nephritis, nephrotic syndrome and nephrosis",1622
2015,Female,Parkinson's disease,1056
2016,Female,Accidents (unintentional injuries),4319
2016,Female,Alzheimer's disease,10566
2016,Female,Assault (homicide),254
2016,Female,Cerebrovascular diseases,8961
2016,Female,Chronic liver disease and cirrhosis,1774
2016,Female,Chronic lower respiratory diseases,7238
2016,Female,Diabetes mellitus,3995
2016,Female,Diseases of heart,28282
2016,Female,Essential hypertension and hypertensive renal disease,2722
2016,Female,Influenza and pneumonia,2926
2016,Female,Intentional self-harm (suicide),918
2016,Female,Malignant neoplasms,28816
2016,Female,"Nephritis, nephrotic syndrome and nephrosis",1608
2016,Female,Parkinson's disease,1113
2017,Female,Accidents (unintentional injuries),4459
2017,Female,Alzheimer's disease,10905
2017,Female,Assault (homicide),248
2017,Female,Cerebrovascular diseases,9280
2017,Female,Chronic liver disease and cirrhosis,1790
2017,Female,Chronic lower respiratory diseases,7246
2017,Female,Diabetes mellitus,4067
2017,Female,Diseases of heart,28855
2017,Female,Essential hypertension and hypertensive renal disease,2934
2017,Female,Influenza and pneumonia,3102
2017,Female,Intentional self-harm (suicide),854
2017,Female,Malignant neoplasms,28929
2017,Female,"Nephritis, nephrotic syndrome and nephrosis",1734
2017,Female,Parkinson's disease,1202
2018,Female,Accidents (unintentional injuries),4502
2018,Female,Alzheimer's disease,10914
2018,Female,Assault (homicide),246
2018,Female,Cerebrovascular diseases,9184
2018,Female,Chronic liver disease and cirrhosis,1816
2018,Female,Chronic lower respiratory diseases,7077
2018,Female,Diabetes mellitus,4122
2018,Female,Diseases of heart,28312
2018,Female,Essential hypertension and hypertensive renal disease,2925
2018,Female,Influenza and pneumonia,3300
2018,Female,Intentional self-harm (suicide),909
2018,Female,Malignant neoplasms,28873
2018,Female,"Nephritis, nephrotic syndrome and nephrosis",1669
2018,Female,Parkinson's disease,1241
2019,Female,Accidents (unintentional injuries),4655
2019,Female,Alzheimer's disease,11074
2019,Female,Assault (homicide),217
2019,Female,Cerebrovascular diseases,9426
2019,Female,Chronic liver disease and cirrhosis,1909
2019,Female,Chronic lower respiratory diseases,6792
2019,Female,Diabetes mellitus,4130
2019,Female,Diseases of heart,27762
2019,Female,Essential hypertension and hypertensive renal disease,2868
2019,Female,Influenza and pneumonia,2649
2019,Female,Intentional self-harm (suicide),876
2019,Female,Malignant neoplasms,28840
2019,Female,"Nephritis, nephrotic syndrome and nephrosis",1656
2019,Female,Parkinson's disease,1360
