Year,Strata_Name,Cause_Desc,Count
2014,Male,Accidents (unintentional injuries),7822
2014,Male,Alzheimer's disease,3944
2014,Male,Assault (homicide),930
2014,Male,Cerebrovascular diseases,5776
2014,Male,Chronic liver disease and cirrhosis,3111
2014,Male,Chronic lower respiratory diseases,5976
2014,Male,Diabetes mellitus,4408
2014,Male,Diseases of heart,31402
2014,Male,Essential hypertension and hypertensive renal disease,1902
2014,Male,Influenza and pneumonia,2883
2014,Male,Intentional self-harm (suicide),2929
2014,Male,Malignant neoplasms,30327
2014,Male,"Nephritis, nephrotic syndrome and nephrosis",1493
2014,Male,Parkinson's disease,1420
2015,Male,Accidents (unintentional injuries),8448
2015,Male,Alzheimer's disease,4735
2015,Male,Assault (homicide),1142
2015,Male,Cerebrovascular diseases,6322
2015,Male,Chronic liver disease and cirrhosis,3386
2015,Male,Chronic lower respiratory diseases,6321
2015,Male,Diabetes mellitus,4751
2015,Male,Diseases of heart,33164
2015,Male,Essential hypertension and hypertensive renal disease,2167
2015,Male,Influenza and pneumonia,2913
2015,Male,Intentional self-harm (suicide),2841
2015,Male,Malignant neoplasms,31084
2015,Male,"Nephritis, nephrotic syndrome and nephrosis",1718
2015,Male,Parkinson's disease,1546
2016,Male,Accidents (unintentional injuries),8873
2016,Male,Alzheimer's disease,4847
2016,Male,Assault (homicide),1313
2016,Male,Cerebrovascular diseases,6599
2016,Male,Chronic liver disease and cirrhosis,3249
2016,Male,Chronic lower respiratory diseases,6389
2016,Male,Diabetes mellitus,4951
2016,Male,Diseases of heart,33570
2016,Male,Essential hypertension and hypertensive renal disease,2119
2016,Male,Influenza and pneumonia,2867
2016,Male,Intentional self-harm (suicide),2898
2016,Male,Malignant neoplasms,30942
2016,Male,"Nephritis, nephrotic syndrome and nephrosis",1681
2016,Male,Parkinson's disease,1770
2017,Male,Accidents (unintentional injuries),9350
2017,Male,Alzheimer's disease,5111
2017,Male,Assault (homicide),1060
2017,Male,Cerebrovascular diseases,6978
2017,Male,Chronic liver disease and cirrhosis,3274
2017,Male,Chronic lower respiratory diseases,6474
2017,Male,Diabetes mellitus,5337
2017,Male,Diseases of heart,34211
2017,Male,Essential hypertension and hypertensive renal disease,2384
2017,Male,Influenza and pneumonia,3032
2017,Male,Intentional self-harm (suicide),2910
2017,Male,Malignant neoplasms,30810
2017,Male,"Nephritis, nephrotic syndrome and nephrosis",1887
2017,Male,Parkinson's disease,1914
2018,Male,Accidents (unintentional injuries),9720
2018,Male,Alzheimer's disease,5395
2018,Male,Assault (homicide),1073
2018,Male,Cerebrovascular diseases,7076
2018,Male,Chronic liver disease and cirrhosis,3306
2018,Male,Chronic lower respiratory diseases,6415
2018,Male,Diabetes mellitus,5164
2018,Male,Diseases of heart,34504
2018,Male,Essential hypertension and hypertensive renal disease,2418
2018,Male,Influenza and pneumonia,3421
2018,Male,Intentional self-harm (suicide),3093
2018,Male,Malignant neoplasms,31335
2018,Male,"Nephritis, nephrotic syndrome and nephrosis",2012
2018,Male,Parkinson's disease,1995
2019,Male,Accidents (unintentional injuries),10507
2019,Male,Alzheimer's disease,5476
2019,Male,Assault (homicide),1065
2019,Male,Cerebrovascular diseases,7317
2019,Male,Chronic liver disease and cirrhosis,3347
2019,Male,Chronic lower respiratory diseases,6177
2019,Male,Diabetes mellitus,5465
2019,Male,Diseases of heart,34827
2019,Male,Essential hypertension and hypertensive renal disease,2526
2019,Male,Influenza and pneumonia,2754
2019,Male,Intentional self-harm (suicide),3119
2019,Male,Malignant neoplasms,30934
2019,Male,"Nephritis, nephrotic syndrome and nephrosis",1995
2019,Male,Parkinson's disease,2189
