,Year,County,Strata,Strata_Name,Cause_Desc,Count
0,2014,San Diego,Age,1-4 years,All causes (total),29
1,2014,San Diego,Age,15-24 years,All causes (total),193
2,2014,San Diego,Age,25-34 years,All causes (total),360
3,2014,San Diego,Age,35-44 years,All causes (total),532
4,2014,San Diego,Age,45-54 years,All causes (total),1321
5,2014,San Diego,Age,5-14 years,All causes (total),34
6,2014,San Diego,Age,55-64 years,All causes (total),2561
7,2014,San Diego,Age,65-74 years,All causes (total),3226
8,2014,San Diego,Age,75-84 years,All causes (total),4826
9,2014,San Diego,Age,85 years and over,All causes (total),7445
10,2014,San Diego,Age,Under 1 year,All causes (total),187
11,2014,San Diego,Gender,Female,Accidents (unintentional injuries),427
12,2014,San Diego,Gender,Female,Alzheimer's disease,918
13,2014,San Diego,Gender,Female,Assault (homicide),19
14,2014,San Diego,Gender,Female,Cerebrovascular diseases,683
15,2014,San Diego,Gender,Female,Chronic liver disease and cirrhosis,105
16,2014,San Diego,Gender,Female,Chronic lower respiratory diseases,537
17,2014,San Diego,Gender,Female,Diabetes mellitus,256
18,2014,San Diego,Gender,Female,Diseases of heart,2069
19,2014,San Diego,Gender,Female,Essential hypertension and hypertensive renal disease,178
20,2014,San Diego,Gender,Female,Influenza and pneumonia,160
21,2014,San Diego,Gender,Female,Intentional self-harm (suicide),98
22,2014,San Diego,Gender,Female,Malignant neoplasms,2424
23,2014,San Diego,Gender,Female,"Nephritis, nephrotic syndrome and nephrosis",52
24,2014,San Diego,Gender,Female,Parkinson's disease,110
25,2014,San Diego,Gender,Male,Accidents (unintentional injuries),736
26,2014,San Diego,Gender,Male,Alzheimer's disease,419
27,2014,San Diego,Gender,Male,Assault (homicide),70
28,2014,San Diego,Gender,Male,Cerebrovascular diseases,509
29,2014,San Diego,Gender,Male,Chronic liver disease and cirrhosis,230
30,2014,San Diego,Gender,Male,Chronic lower respiratory diseases,469
31,2014,San Diego,Gender,Male,Diabetes mellitus,368
32,2014,San Diego,Gender,Male,Diseases of heart,2640
33,2014,San Diego,Gender,Male,Essential hypertension and hypertensive renal disease,139
34,2014,San Diego,Gender,Male,Influenza and pneumonia,162
35,2014,San Diego,Gender,Male,Intentional self-harm (suicide),323
36,2014,San Diego,Gender,Male,Malignant neoplasms,2650
37,2014,San Diego,Gender,Male,"Nephritis, nephrotic syndrome and nephrosis",65
38,2014,San Diego,Gender,Male,Parkinson's disease,166
39,2014,San Diego,Place Type,Decedent's Home,All causes (total),7139
40,2014,San Diego,Place Type,Emergency Room/Outpatient,All causes (total),1004
41,2014,San Diego,Place Type,Hospice Facility,All causes (total),568
42,2014,San Diego,Place Type,Inpatient,All causes (total),6602
43,2014,San Diego,Place Type,Nursing Home/Long Term Care Facility,All causes (total),4539
44,2014,San Diego,Place Type,Other/Unknown,All causes (total),867
45,2014,San Diego,Race-Ethnicity,American Indian/Alaskan Native,Accidents (unintentional injuries),0
46,2014,San Diego,Race-Ethnicity,American Indian/Alaskan Native,Alzheimer's disease,0
47,2014,San Diego,Race-Ethnicity,American Indian/Alaskan Native,Assault (homicide),0
48,2014,San Diego,Race-Ethnicity,American Indian/Alaskan Native,Cerebrovascular diseases,0
49,2014,San Diego,Race-Ethnicity,American Indian/Alaskan Native,Chronic liver disease and cirrhosis,0
50,2014,San Diego,Race-Ethnicity,American Indian/Alaskan Native,Chronic lower respiratory diseases,0
51,2014,San Diego,Race-Ethnicity,American Indian/Alaskan Native,Diabetes mellitus,0
52,2014,San Diego,Race-Ethnicity,American Indian/Alaskan Native,Diseases of heart,19
