,Year,Strata,Strata_Name,Cause_Desc,Count
0,2014,Age,1-4 years,All causes (total),292
1,2014,Age,15-24 years,All causes (total),2805
2,2014,Age,25-34 years,All causes (total),4471
3,2014,Age,35-44 years,All causes (total),6684
4,2014,Age,45-54 years,All causes (total),16669
5,2014,Age,5-14 years,All causes (total),365
6,2014,Age,55-64 years,All causes (total),32631
7,2014,Age,65-74 years,All causes (total),41405
8,2014,Age,75-84 years,All causes (total),56551
9,2014,Age,85 years and over,All causes (total),82100
10,2014,Age,Under 1 year,All causes (total),2090
11,2014,Gender,Female,Accidents (unintentional injuries),3903
12,2014,Gender,Female,Alzheimer's disease,8579
13,2014,Gender,Female,Assault (homicide),202
14,2014,Gender,Female,Cerebrovascular diseases,7759
15,2014,Gender,Female,Chronic liver disease and cirrhosis,1625
16,2014,Gender,Female,Chronic lower respiratory diseases,6675
17,2014,Gender,Female,Diabetes mellitus,3599
18,2014,Gender,Female,Diseases of heart,26890
19,2014,Gender,Female,Essential hypertension and hypertensive renal disease,2453
20,2014,Gender,Female,Influenza and pneumonia,2846
21,2014,Gender,Female,Intentional self-harm (suicide),890
22,2014,Gender,Female,Malignant neoplasms,28314
23,2014,Gender,Female,"Nephritis, nephrotic syndrome and nephrosis",1342
24,2014,Gender,Female,Parkinson's disease,967
25,2014,Gender,Male,Accidents (unintentional injuries),7822
26,2014,Gender,Male,Alzheimer's disease,3944
27,2014,Gender,Male,Assault (homicide),930
28,2014,Gender,Male,Cerebrovascular diseases,5776
29,2014,Gender,Male,Chronic liver disease and cirrhosis,3111
30,2014,Gender,Male,Chronic lower respiratory diseases,5976
31,2014,Gender,Male,Diabetes mellitus,4408
32,2014,Gender,Male,Diseases of heart,31402
33,2014,Gender,Male,Essential hypertension and hypertensive renal disease,1902
34,2014,Gender,Male,Influenza and pneumonia,2883
35,2014,Gender,Male,Intentional self-harm (suicide),2929
36,2014,Gender,Male,Malignant neoplasms,30327
37,2014,Gender,Male,"Nephritis, nephrotic syndrome and nephrosis",1493
38,2014,Gender,Male,Parkinson's disease,1420
39,2014,Place Type,Decedent's Home,All causes (total),87679
