,Year,County,Strata,Strata_Name,Cause_Desc,Count
0,2014,Alameda,Age,1-4 years,All causes (total),17
1,2014,Alameda,Age,15-24 years,All causes (total),133
2,2014,Alameda,Age,25-34 years,All causes (total),175
3,2014,Alameda,Age,35-44 years,All causes (total),247
4,2014,Alameda,Age,45-54 years,All causes (total),529
5,2014,Alameda,Age,5-14 years,All causes (total),17
6,2014,Alameda,Age,55-64 years,All causes (total),1259
7,2014,Alameda,Age,65-74 years,All causes (total),1585
8,2014,Alameda,Age,75-84 years,All causes (total),2023
9,2014,Alameda,Age,85 years and over,All causes (total),3265
10,2014,Alameda,Age,Under 1 year,All causes (total),105
11,2014,Alameda,Gender,Female,Accidents (unintentional injuries),132
12,2014,Alameda,Gender,Female,Alzheimer's disease,314
13,2014,Alameda,Gender,Female,Assault (homicide),28
14,2014,Alameda,Gender,Female,Cerebrovascular diseases,319
15,2014,Alameda,Gender,Female,Chronic liver disease and cirrhosis,48
16,2014,Alameda,Gender,Female,Chronic lower respiratory diseases,219
17,2014,Alameda,Gender,Female,Diabetes mellitus,170
18,2014,Alameda,Gender,Female,Diseases of heart,870
19,2014,Alameda,Gender,Female,Essential hypertension and hypertensive renal disease,133
20,2014,Alameda,Gender,Female,Influenza and pneumonia,100
21,2014,Alameda,Gender,Female,Intentional self-harm (suicide),39
22,2014,Alameda,Gender,Female,Malignant neoplasms,1093
23,2014,Alameda,Gender,Female,"Nephritis, nephrotic syndrome and nephrosis",71
24,2014,Alameda,Gender,Female,Parkinson's disease,46
25,2014,Alameda,Gender,Male,Accidents (unintentional injuries),266
26,2014,Alameda,Gender,Male,Alzheimer's disease,162
27,2014,Alameda,Gender,Male,Assault (homicide),82
28,2014,Alameda,Gender,Male,Cerebrovascular diseases,210
29,2014,Alameda,Gender,Male,Chronic liver disease and cirrhosis,102
30,2014,Alameda,Gender,Male,Chronic lower respiratory diseases,199
31,2014,Alameda,Gender,Male,Diabetes mellitus,195
32,2014,Alameda,Gender,Male,Diseases of heart,1008
33,2014,Alameda,Gender,Male,Essential hypertension and hypertensive renal disease,75
34,2014,Alameda,Gender,Male,Influenza and pneumonia,120
35,2014,Alameda,Gender,Male,Intentional self-harm (suicide),123
36,2014,Alameda,Gender,Male,Malignant neoplasms,1135
37,2014,Alameda,Gender,Male,"Nephritis, nephrotic syndrome and nephrosis",51
38,2014,Alameda,Gender,Male,Parkinson's disease,45
39,2014,Alameda,Place Type,Decedent's Home,All causes (total),3195
40,2014,Alameda,Place Type,Emergency Room/Outpatient,All causes (total),593
41,2014,Alameda,Place Type,Hospice Facility,All causes (total),20
42,2014,Alameda,Place Type,Inpatient,All causes (total),3024
43,2014,Alameda,Place Type,Nursing Home/Long Term Care Facility,All causes (total),1957
44,2014,Alameda,Place Type,Other/Unknown,All causes (total),568
45,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Accidents (unintentional injuries),0
46,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Alzheimer's disease,0
