,Strata_Name,County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
0,Female,Alameda,2014,132,314,28,319,48,219,170,870,133,100,39,1093,71,46
1,Female,Alameda,2015,144,400,18,400,54,253,171,910,123,115,36,1137,55,58
2,Female,Alameda,2016,140,382,19,378,52,224,144,873,132,109,53,1163,68,57
3,Female,Alameda,2017,154,437,0,498,46,221,163,875,137,131,34,1143,82,58
4,Female,Alameda,2018,153,437,18,378,55,220,159,907,136,121,44,1087,66,52
5,Female,Alameda,2019,156,412,0,422,67,202,141,944,155,115,28,1160,86,47
6,Female,Contra Costa,2014,93,316,0,331,38,199,95,685,68,64,24,926,33,41
7,Female,Contra Costa,2015,100,346,13,360,42,231,108,693,71,73,28,938,32,41
8,Female,Contra Costa,2016,125,362,11,327,35,219,92,669,98,70,34,907,54,36
9,Female,Contra Costa,2017,114,373,11,365,32,209,105,707,74,85,13,904,43,50
10,Female,Contra Costa,2018,106,393,0,343,50,191,81,666,89,98,19,845,38,40
11,Female,Contra Costa,2019,109,394,0,335,41,187,101,597,94,68,29,930,48,59
12,Female,Fresno,2014,141,223,0,239,56,156,107,699,138,85,22,632,48,19
13,Female,Fresno,2015,152,223,12,270,66,161,99,707,133,80,20,619,32,23
14,Female,Fresno,2016,173,216,15,261,49,161,103,732,134,72,28,615,53,30
15,Female,Fresno,2017,156,242,20,271,67,166,108,819,153,76,15,639,53,23
16,Female,Fresno,2018,150,252,0,225,71,172,126,757,116,105,24,703,42,25
17,Female,Fresno,2019,129,260,11,217,55,162,115,770,126,58,17,706,40,38
18,Female,Los Angeles,2014,684,1906,75,1829,475,1428,1057,7327,628,1061,173,7203,470,235
19,Female,Los Angeles,2015,742,2640,94,2090,558,1539,1114,7634,747,1138,188,7232,602,287
20,Female,Los Angeles,2016,783,2765,83,2024,494,1664,1177,7578,729,1080,163,7245,553,262
21,Female,Los Angeles,2017,731,2887,94,2087,490,1631,1175,7738,745,981,206,7342,619,304
22,Female,Los Angeles,2018,786,2765,115,2088,497,1575,1258,7736,802,1122,211,7384,615,328
23,Female,Los Angeles,2019,824,2915,64,2090,504,1514,1346,7524,783,910,186,7325,607,335
24,Female,Orange,2014,254,847,17,706,120,514,216,2335,199,261,83,2296,154,81
25,Female,Orange,2015,289,1015,0,757,146,569,236,2351,159,284,79,2373,175,113
26,Female,Orange,2016,286,1048,16,893,148,548,235,2252,158,295,81,2364,187,119
27,Female,Orange,2017,326,1000,17,875,144,569,203,2412,187,312,83,2391,167,158
28,Female,Orange,2018,294,1070,18,930,132,527,251,2344,189,305,90,2388,191,126
29,Female,Orange,2019,301,1064,11,903,137,551,245,2334,161,277,81,2438,185,162
30,Female,Riverside,2014,238,515,20,422,111,528,200,1726,138,97,54,1675,84,58
31,Female,Riverside,2015,282,662,16,490,105,547,166,1894,164,139,59,1693,112,71
32,Female,Riverside,2016,267,643,24,441,113,522,233,1952,165,121,69,1595,126,63
33,Female,Riverside,2017,285,701,18,491,118,538,191,2087,134,132,69,1664,125,60
34,Female,Riverside,2018,280,648,21,543,109,607,213,2078,145,150,62,1678,103,78
35,Female,Riverside,2019,308,655,32,535,131,566,214,1999,155,159,72,1730,116,84
36,Female,Sacramento,2014,213,353,20,383,69,337,174,1216,142,120,56,1237,15,36
37,Female,Sacramento,2015,238,417,20,480,86,343,192,1285,147,119,45,1317,18,32
38,Female,Sacramento,2016,219,445,19,444,72,312,204,1235,149,126,52,1266,20,52
39,Female,Sacramento,2017,240,539,22,467,85,325,214,1225,188,133,41,1308,20,53
40,Female,Sacramento,2018,246,583,15,471,89,339,232,1196,179,159,46,1294,28,48
41,Female,Sacramento,2019,270,556,15,486,93,307,225,1182,144,119,48,1314,31,52
42,Female,San Bernardino,2014,179,337,23,389,106,468,278,1401,132,112,32,1376,96,45
43,Female,San Bernardino,2015,225,427,18,364,129,509,273,1536,125,116,59,1432,115,38
44,Female,San Bernardino,2016,188,508,15,434,110,477,270,1579,118,118,55,1436,114,42
45,Female,San Bernardino,2017,248,521,29,444,127,484,303,1588,153,121,44,1441,125,42
46,Female,San Bernardino,2018,262,465,23,385,119,484,312,1662,126,132,53,1420,115,48
47,Female,San Bernardino,2019,276,468,32,423,151,490,302,1596,145,128,43,1423,132,48
48,Female,San Diego,2014,427,918,19,683,105,537,256,2069,178,160,98,2424,52,110
49,Female,San Diego,2015,409,926,28,715,154,575,339,2316,228,186,104,2466,44,92
50,Female,San Diego,2016,400,970,28,838,183,567,333,2310,220,193,110,2609,41,118
51,Female,San Diego,2017,447,980,25,836,154,564,396,2273,261,226,104,2504,32,145
52,Female,San Diego,2018,480,993,22,879,119,560,342,2119,272,225,103,2482,44,127
53,Female,San Diego,2019,456,1018,28,970,133,551,332,2159,250,132,89,2461,58,147
54,Female,Santa Clara,2014,171,81,0,337,59,238,213,1004,161,110,41,1265,30,56
55,Female,Santa Clara,2015,170,44,0,323,69,219,186,1047,231,108,37,1325,26,41
56,Female,Santa Clara,2016,182,57,11,365,63,194,181,1011,228,95,31,1282,39,48
57,Female,Santa Clara,2017,179,88,0,392,69,209,199,1031,272,134,24,1294,39,51
58,Female,Santa Clara,2018,181,348,0,390,68,204,207,947,241,121,33,1267,31,61
59,Female,Santa Clara,2019,205,326,12,409,63,174,205,910,224,80,47,1202,31,77
60,Male,Alameda,2014,266,162,82,210,102,199,195,1008,75,120,123,1135,51,45
61,Male,Alameda,2015,300,156,118,253,99,213,164,1056,80,105,103,1103,62,52
62,Male,Alameda,2016,275,184,108,270,95,192,186,1097,94,101,105,1134,62,62
63,Male,Alameda,2017,257,193,0,312,115,207,211,1062,122,118,110,1096,72,74
64,Male,Alameda,2018,299,215,84,312,107,193,179,1112,115,145,123,1189,96,80
65,Male,Alameda,2019,361,199,0,339,108,202,211,1111,100,102,124,1081,66,91
66,Male,Contra Costa,2014,163,134,0,242,76,178,117,773,73,58,70,879,40,55
67,Male,Contra Costa,2015,167,161,54,278,69,168,142,813,67,58,76,961,52,66
68,Male,Contra Costa,2016,188,169,46,198,75,145,120,745,80,54,94,950,58,68
69,Male,Contra Costa,2017,179,189,39,258,76,182,155,822,69,65,78,935,56,65
70,Male,Contra Costa,2018,214,192,0,239,55,164,129,792,79,80,95,959,42,78
71,Male,Contra Costa,2019,248,200,0,240,68,151,150,737,81,71,76,963,49,89
72,Male,Fresno,2014,297,96,0,208,90,139,147,831,81,95,91,697,40,41
73,Male,Fresno,2015,309,131,58,180,117,142,140,825,102,97,79,765,44,40
74,Male,Fresno,2016,338,119,57,195,106,159,135,908,83,77,76,786,54,35
75,Male,Fresno,2017,341,143,77,215,94,185,137,903,82,72,97,775,51,51
76,Male,Fresno,2018,315,129,0,211,106,183,180,921,92,101,84,771,35,48
77,Male,Fresno,2019,325,154,66,184,118,162,156,963,81,67,91,747,59,48
78,Male,Los Angeles,2014,1586,929,472,1389,926,1400,1255,8331,540,1037,632,7407,543,359
79,Male,Los Angeles,2015,1692,1166,542,1582,1072,1500,1321,8996,594,1022,652,7694,662,381
80,Male,Los Angeles,2016,1853,1223,585,1665,1025,1515,1376,9091,586,1055,676,7619,634,400
81,Male,Los Angeles,2017,1905,1299,530,1639,998,1498,1509,9114,696,1034,699,7659,755,498
82,Male,Los Angeles,2018,1918,1289,516,1637,1022,1534,1474,9291,700,1106,770,7649,758,467
83,Male,Los Angeles,2019,2219,1481,479,1706,986,1464,1649,9322,762,931,678,7586,754,530
84,Male,Orange,2014,512,389,45,525,225,406,232,2402,122,260,273,2352,160,139
85,Male,Orange,2015,575,485,0,535,233,429,265,2520,148,300,213,2320,184,200
86,Male,Orange,2016,631,461,51,584,226,404,301,2551,114,285,247,2397,191,194
87,Male,Orange,2017,662,492,52,625,272,482,332,2628,155,267,240,2477,187,177
88,Male,Orange,2018,673,507,46,649,265,472,317,2719,142,308,276,2530,232,244
89,Male,Orange,2019,674,492,41,607,272,421,314,2760,158,260,253,2542,233,245
90,Male,Riverside,2014,551,279,69,319,211,426,241,2133,112,113,175,1856,88,95
