,Year,County,Strata,Strata_Name,Cause_Desc,Count
0,2014,Alameda,Age,1-4 years,All causes (total),11
1,2014,Alameda,Age,15-24 years,All causes (total),124
2,2014,Alameda,Age,25-34 years,All causes (total),179
3,2014,Alameda,Age,35-44 years,All causes (total),260
4,2014,Alameda,Age,45-54 years,All causes (total),548
5,2014,Alameda,Age,5-14 years,All causes (total),12
6,2014,Alameda,Age,55-64 years,All causes (total),1297
7,2014,Alameda,Age,65-74 years,All causes (total),1618
8,2014,Alameda,Age,75-84 years,All causes (total),2014
9,2014,Alameda,Age,85 years and over,All causes (total),3271
10,2014,Alameda,Age,Under 1 year,All causes (total),76
11,2014,Alameda,Gender,Female,Accidents (unintentional injuries),139
12,2014,Alameda,Gender,Female,Alzheimer's disease,314
13,2014,Alameda,Gender,Female,Assault (homicide),25
14,2014,Alameda,Gender,Female,Cerebrovascular diseases,322
15,2014,Alameda,Gender,Female,Chronic liver disease and cirrhosis,51
16,2014,Alameda,Gender,Female,Chronic lower respiratory diseases,220
17,2014,Alameda,Gender,Female,Diabetes mellitus,167
18,2014,Alameda,Gender,Female,Diseases of heart,855
19,2014,Alameda,Gender,Female,Essential hypertension and hypertensive renal disease,127
20,2014,Alameda,Gender,Female,Influenza and pneumonia,98
21,2014,Alameda,Gender,Female,Intentional self-harm (suicide),40
22,2014,Alameda,Gender,Female,Malignant neoplasms,1116
23,2014,Alameda,Gender,Female,"Nephritis, nephrotic syndrome and nephrosis",65
24,2014,Alameda,Gender,Female,Parkinson's disease,47
25,2014,Alameda,Gender,Male,Accidents (unintentional injuries),274
26,2014,Alameda,Gender,Male,Alzheimer's disease,160
27,2014,Alameda,Gender,Male,Assault (homicide),80
28,2014,Alameda,Gender,Male,Cerebrovascular diseases,214
29,2014,Alameda,Gender,Male,Chronic liver disease and cirrhosis,104
30,2014,Alameda,Gender,Male,Chronic lower respiratory diseases,187
31,2014,Alameda,Gender,Male,Diabetes mellitus,195
32,2014,Alameda,Gender,Male,Diseases of heart,1022
33,2014,Alameda,Gender,Male,Essential hypertension and hypertensive renal disease,74
34,2014,Alameda,Gender,Male,Influenza and pneumonia,126
35,2014,Alameda,Gender,Male,Intentional self-harm (suicide),122
36,2014,Alameda,Gender,Male,Malignant neoplasms,1185
37,2014,Alameda,Gender,Male,"Nephritis, nephrotic syndrome and nephrosis",54
38,2014,Alameda,Gender,Male,Parkinson's disease,45
39,2014,Alameda,Place Type,Decedent's Home,All causes (total),3183
40,2014,Alameda,Place Type,Emergency Room/Outpatient,All causes (total),589
41,2014,Alameda,Place Type,Hospice Facility,All causes (total),56
42,2014,Alameda,Place Type,Inpatient,All causes (total),3013
43,2014,Alameda,Place Type,Nursing Home/Long Term Care Facility,All causes (total),1936
44,2014,Alameda,Place Type,Other/Unknown,All causes (total),635
45,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Accidents (unintentional injuries),0
46,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Alzheimer's disease,0
47,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Assault (homicide),0
48,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Cerebrovascular diseases,0
49,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Chronic liver disease and cirrhosis,0
50,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Chronic lower respiratory diseases,0
51,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Diabetes mellitus,0
52,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Diseases of heart,0
53,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Essential hypertension and hypertensive renal disease,0
54,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Influenza and pneumonia,0
55,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Intentional self-harm (suicide),0
56,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Malignant neoplasms,0
57,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,"Nephritis, nephrotic syndrome and nephrosis",0
58,2014,Alameda,Race-Ethnicity,American Indian/Alaskan Native,Parkinson's disease,0
59,2014,Alameda,Race-Ethnicity,Asian,Accidents (unintentional injuries),48
60,2014,Alameda,Race-Ethnicity,Asian,Alzheimer's disease,67
61,2014,Alameda,Race-Ethnicity,Asian,Assault (homicide),0
62,2014,Alameda,Race-Ethnicity,Asian,Cerebrovascular diseases,111
63,2014,Alameda,Race-Ethnicity,Asian,Chronic liver disease and cirrhosis,0
64,2014,Alameda,Race-Ethnicity,Asian,Chronic lower respiratory diseases,45
65,2014,Alameda,Race-Ethnicity,Asian,Diabetes mellitus,84
66,2014,Alameda,Race-Ethnicity,Asian,Diseases of heart,270
67,2014,Alameda,Race-Ethnicity,Asian,Essential hypertension and hypertensive renal disease,41
68,2014,Alameda,Race-Ethnicity,Asian,Influenza and pneumonia,47
69,2014,Alameda,Race-Ethnicity,Asian,Intentional self-harm (suicide),34
70,2014,Alameda,Race-Ethnicity,Asian,Malignant neoplasms,447
71,2014,Alameda,Race-Ethnicity,Asian,"Nephritis, nephrotic syndrome and nephrosis",18
72,2014,Alameda,Race-Ethnicity,Asian,Parkinson's disease,13
73,2014,Alameda,Race-Ethnicity,Black,Accidents (unintentional injuries),87
74,2014,Alameda,Race-Ethnicity,Black,Alzheimer's disease,72
75,2014,Alameda,Race-Ethnicity,Black,Assault (homicide),62
76,2014,Alameda,Race-Ethnicity,Black,Cerebrovascular diseases,106
77,2014,Alameda,Race-Ethnicity,Black,Chronic liver disease and cirrhosis,21
78,2014,Alameda,Race-Ethnicity,Black,Chronic lower respiratory diseases,69
79,2014,Alameda,Race-Ethnicity,Black,Diabetes mellitus,71
80,2014,Alameda,Race-Ethnicity,Black,Diseases of heart,352
81,2014,Alameda,Race-Ethnicity,Black,Essential hypertension and hypertensive renal disease,49
82,2014,Alameda,Race-Ethnicity,Black,Influenza and pneumonia,32
83,2014,Alameda,Race-Ethnicity,Black,Intentional self-harm (suicide),0
84,2014,Alameda,Race-Ethnicity,Black,Malignant neoplasms,379
85,2014,Alameda,Race-Ethnicity,Black,"Nephritis, nephrotic syndrome and nephrosis",30
86,2014,Alameda,Race-Ethnicity,Black,Parkinson's disease,0
87,2014,Alameda,Race-Ethnicity,Hawaiian/Pacific Islander,Accidents (unintentional injuries),0
88,2014,Alameda,Race-Ethnicity,Hawaiian/Pacific Islander,Alzheimer's disease,0
89,2014,Alameda,Race-Ethnicity,Hawaiian/Pacific Islander,Assault (homicide),0
90,2014,Alameda,Race-Ethnicity,Hawaiian/Pacific Islander,Cerebrovascular diseases,0
