,Strata_Name,County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
0,Female,Alameda,2014,139,314,25,322,51,220,167,855,127,98,40,1116,65,47
1,Female,Alameda,2015,157,412,18,397,57,256,173,906,128,115,37,1169,52,56
2,Female,Alameda,2016,143,395,16,389,54,216,144,888,125,106,50,1179,63,60
3,Female,Alameda,2017,148,418,0,493,46,220,157,894,140,114,30,1128,78,60
4,Female,Alameda,2018,143,429,11,381,55,218,159,904,132,114,44,1093,66,49
5,Female,Alameda,2019,171,420,0,407,68,199,134,926,153,111,31,1163,85,49
6,Female,Contra Costa,2014,100,311,0,316,37,195,99,685,74,68,25,899,37,38
7,Female,Contra Costa,2015,113,334,11,355,40,218,109,702,66,74,30,915,38,39
8,Female,Contra Costa,2016,142,356,18,330,38,215,93,670,97,77,37,898,56,37
9,Female,Contra Costa,2017,127,370,12,373,35,204,107,733,75,95,20,892,48,47
10,Female,Contra Costa,2018,131,376,11,341,52,182,85,694,95,96,20,865,43,40
11,Female,Contra Costa,2019,126,381,0,329,40,187,105,649,98,71,32,946,54,59
12,Female,Fresno,2014,120,217,0,222,58,159,110,679,138,93,21,608,49,17
13,Female,Fresno,2015,134,227,11,248,59,155,94,695,127,80,18,587,31,25
14,Female,Fresno,2016,159,214,15,236,51,155,103,702,133,71,30,569,52,31
15,Female,Fresno,2017,127,229,21,235,65,166,107,777,143,81,13,613,51,22
16,Female,Fresno,2018,140,247,0,217,64,169,123,736,110,96,27,654,40,23
17,Female,Fresno,2019,124,254,11,211,52,152,114,739,118,57,13,654,40,38
18,Female,Los Angeles,2014,675,1956,76,1824,449,1408,1056,7266,622,1039,176,6998,456,237
19,Female,Los Angeles,2015,727,2648,94,2112,543,1537,1093,7565,747,1119,188,7096,584,290
20,Female,Los Angeles,2016,804,2769,76,2032,456,1629,1152,7475,728,1055,161,7131,556,266
21,Female,Los Angeles,2017,734,2890,102,2105,462,1619,1169,7657,735,957,201,7172,608,308
22,Female,Los Angeles,2018,781,2816,111,2133,468,1548,1251,7684,795,1107,193,7268,615,333
23,Female,Los Angeles,2019,818,2959,61,2095,473,1489,1328,7437,774,891,179,7195,613,345
24,Female,Orange,2014,236,789,13,655,122,503,205,2248,192,243,80,2214,147,77
25,Female,Orange,2015,299,979,0,693,144,543,229,2278,155,261,82,2271,167,103
26,Female,Orange,2016,270,997,18,837,152,534,218,2171,151,282,77,2273,179,111
27,Female,Orange,2017,321,950,25,823,146,540,189,2323,177,287,82,2309,166,151
28,Female,Orange,2018,288,1024,14,854,132,508,234,2255,180,283,99,2249,180,122
29,Female,Orange,2019,300,1001,15,836,130,542,223,2245,154,270,83,2309,175,154
30,Female,Riverside,2014,228,497,22,415,111,528,208,1748,145,104,58,1710,86,61
31,Female,Riverside,2015,289,667,14,527,112,560,178,1927,157,157,62,1776,119,68
32,Female,Riverside,2016,259,628,22,498,121,549,231,1975,159,130,71,1654,130,64
33,Female,Riverside,2017,292,700,26,509,130,552,198,2091,146,144,72,1736,131,59
34,Female,Riverside,2018,301,652,24,567,124,621,220,2106,157,158,68,1742,109,78
35,Female,Riverside,2019,297,660,29,557,147,567,227,2020,153,163,68,1819,126,86
36,Female,Sacramento,2014,191,345,21,327,74,331,171,1166,138,117,52,1192,18,38
37,Female,Sacramento,2015,198,396,25,413,81,341,194,1244,137,121,43,1261,22,31
38,Female,Sacramento,2016,191,432,16,379,72,321,191,1170,142,121,54,1233,20,53
39,Female,Sacramento,2017,224,534,20,414,94,354,224,1189,180,121,43,1288,22,51
40,Female,Sacramento,2018,232,562,13,393,86,351,225,1175,181,155,46,1231,34,50
41,Female,Sacramento,2019,241,522,13,411,94,306,220,1129,141,123,51,1268,37,47
42,Female,San Bernardino,2014,186,338,23,394,113,467,269,1378,122,110,30,1412,91,44
43,Female,San Bernardino,2015,210,424,18,365,136,490,283,1504,124,114,55,1450,116,40
44,Female,San Bernardino,2016,174,521,17,431,111,477,286,1589,117,120,53,1471,112,41
45,Female,San Bernardino,2017,228,526,25,426,131,469,311,1599,149,128,46,1456,121,40
46,Female,San Bernardino,2018,251,455,22,374,120,478,310,1650,127,140,55,1455,100,46
47,Female,San Bernardino,2019,270,470,34,441,151,490,299,1584,152,126,53,1445,113,42
48,Female,San Diego,2014,402,899,19,672,101,534,241,2018,178,158,95,2332,50,107
49,Female,San Diego,2015,382,913,25,685,148,559,323,2259,223,177,103,2400,44,92
50,Female,San Diego,2016,385,967,24,787,178,549,323,2240,218,178,104,2519,40,117
51,Female,San Diego,2017,429,983,26,814,141,560,373,2223,255,221,99,2417,37,142
52,Female,San Diego,2018,458,979,22,849,107,555,327,2055,259,215,101,2374,47,127
53,Female,San Diego,2019,427,1013,23,946,125,543,319,2131,251,133,88,2367,59,144
54,Female,Santa Clara,2014,147,94,0,320,46,226,198,945,152,105,42,1147,32,54
55,Female,Santa Clara,2015,167,65,0,308,66,215,171,989,212,108,38,1222,22,44
56,Female,Santa Clara,2016,170,74,0,331,57,193,172,966,217,85,31,1166,43,48
57,Female,Santa Clara,2017,183,104,0,362,58,201,193,953,258,125,24,1185,36,52
58,Female,Santa Clara,2018,169,366,0,373,61,196,193,903,232,114,34,1168,33,60
59,Female,Santa Clara,2019,187,335,12,396,53,166,196,843,208,80,46,1114,30,77
60,Male,Alameda,2014,274,160,80,214,104,187,195,1022,74,126,122,1185,54,45
61,Male,Alameda,2015,302,150,97,269,87,213,162,1050,80,103,111,1122,60,53
