County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
Alameda,2014,2407.0,2834.0,614.0,3175.0,878.0,2460.0,2159.0,11231.0,1201.0,1314.0,942.0,13543.0,708.0,522.0
Alameda,2015,2680.0,3332.0,729.0,3926.0,865.0,2794.0,1977.0,11731.0,1225.0,1294.0,854.0,13569.0,657.0,634.0
Alameda,2016,2460.0,3424.0,728.0,3879.0,913.0,2470.0,1950.0,11911.0,1291.0,1183.0,916.0,13943.0,754.0,679.0
Alameda,2017,2428.0,3731.0,358.0,4801.0,951.0,2536.0,2171.0,11739.0,1568.0,1423.0,823.0,13438.0,885.0,764.0
Alameda,2018,2650.0,3823.0,499.0,4046.0,966.0,2447.0,1943.0,12066.0,1467.0,1502.0,989.0,13657.0,959.0,765.0
Alameda,2019,3101.0,3673.0,353.0,4454.0,1021.0,2379.0,2074.0,12321.0,1512.0,1289.0,924.0,13412.0,873.0,809.0
Alpine,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,2014,153.0,56.0,0.0,93.0,0.0,73.0,0.0,615.0,0.0,15.0,50.0,430.0,0.0,0.0
Amador,2015,58.0,148.0,0.0,88.0,0.0,201.0,0.0,618.0,0.0,30.0,0.0,417.0,0.0,0.0
Amador,2016,94.0,80.0,0.0,35.0,11.0,76.0,0.0,527.0,0.0,0.0,0.0,674.0,0.0,0.0
Amador,2017,90.0,70.0,0.0,59.0,12.0,40.0,0.0,590.0,0.0,25.0,0.0,551.0,0.0,0.0
Amador,2018,81.0,45.0,0.0,104.0,26.0,102.0,0.0,542.0,0.0,12.0,25.0,473.0,0.0,0.0
Amador,2019,82.0,133.0,0.0,43.0,0.0,48.0,22.0,697.0,0.0,27.0,27.0,578.0,0.0,0.0
Butte,2014,1009.0,894.0,0.0,626.0,279.0,910.0,250.0,2905.0,215.0,281.0,72.0,2665.0,102.0,120.0
Butte,2015,948.0,957.0,0.0,763.0,334.0,866.0,317.0,3361.0,159.0,353.0,79.0,3088.0,102.0,152.0
Butte,2016,1006.0,1274.0,0.0,809.0,264.0,857.0,418.0,3432.0,157.0,140.0,177.0,2986.0,50.0,99.0
Butte,2017,820.0,1110.0,0.0,864.0,307.0,998.0,431.0,3236.0,78.0,305.0,159.0,3069.0,85.0,176.0
Butte,2018,1313.0,1172.0,0.0,749.0,290.0,773.0,275.0,3398.0,102.0,350.0,204.0,3269.0,82.0,104.0
Butte,2019,841.0,814.0,0.0,680.0,214.0,863.0,251.0,2778.0,45.0,212.0,124.0,2694.0,94.0,138.0
Calaveras,2014,94.0,14.0,0.0,39.0,0.0,115.0,28.0,685.0,0.0,26.0,0.0,693.0,13.0,0.0
Calaveras,2015,59.0,80.0,0.0,42.0,0.0,82.0,0.0,654.0,0.0,24.0,42.0,444.0,0.0,0.0
Calaveras,2016,81.0,14.0,0.0,36.0,0.0,154.0,0.0,642.0,0.0,0.0,0.0,665.0,13.0,0.0
Calaveras,2017,85.0,39.0,0.0,45.0,0.0,131.0,11.0,605.0,0.0,0.0,44.0,639.0,0.0,0.0
Calaveras,2018,76.0,37.0,0.0,61.0,56.0,157.0,47.0,624.0,0.0,14.0,26.0,541.0,0.0,0.0
Calaveras,2019,107.0,61.0,0.0,21.0,22.0,84.0,23.0,608.0,0.0,15.0,0.0,549.0,0.0,0.0
Colusa,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,59.0,0.0,0.0
Colusa,2015,15.0,0.0,0.0,0.0,0.0,16.0,0.0,247.0,0.0,0.0,0.0,187.0,0.0,0.0
Colusa,2016,12.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,148.0,0.0,0.0
Colusa,2017,0.0,39.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,110.0,0.0,0.0
Colusa,2018,30.0,30.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,143.0,0.0,0.0
Colusa,2019,19.0,11.0,0.0,0.0,0.0,13.0,0.0,182.0,0.0,0.0,0.0,41.0,0.0,0.0
Contra Costa,2014,1631.0,2676.0,206.0,3342.0,644.0,2227.0,1274.0,8722.0,850.0,688.0,558.0,10635.0,412.0,530.0
Contra Costa,2015,1681.0,2983.0,420.0,3742.0,677.0,2350.0,1495.0,9135.0,794.0,770.0,613.0,11284.0,500.0,599.0
Contra Costa,2016,1994.0,3130.0,348.0,3145.0,645.0,2166.0,1276.0,8528.0,1047.0,783.0,775.0,11049.0,683.0,582.0
Contra Costa,2017,1826.0,3316.0,310.0,3733.0,627.0,2298.0,1554.0,9303.0,839.0,938.0,579.0,10878.0,617.0,656.0
